"name","description","address","zipcode","city","longitude","latitude"
"SANTARDS ET TRADITIONS","Preservation du patrimoine de la salle de traditions de l'ecole","Ecole du service de santé des Armées","69500","BRON","4.911155","45.741021"
"LOCAMIC","Location de salles organisation de receptions seminaires reunions","39 rue de la poudrette","69120","VAULX-EN-VELIN","4.919882","45.762732"
"BESSON ET BOIS","Football","90 avenue du general leclerc","69300","CALUIRE-ET-CUIRE","4.865525","45.80521"
"ASSOCIATION LYONNAISE DE RECHERCHE SUR LE PIED DIABETIQUE","Prevention des troubles trophiques podologiques","29 rue anatole france","69190","SAINT-FONS","4.853094","45.711593"
"CERCLE DE COMPOSITION ET D'ETUDE MUSICO VISUELLE 2CEM","Developpement des connaissances de la creativite de la pratique","10 chemin de montefferrand","69360","TERNAY","4.812687","45.60981"
"CARPE DIEM","Apporter un enrichissement culturel au travers de visites dans","Chemin du michalon","69530","BRIGNAIS","4.74622","45.67612"
"ASSOCIATION MUROISE DES AMIS DE L'ASTROLOGIE","Initiation aux sciences occultes et esoteriques","C/o m et mme brunel 19 rue jean henri dunand","69720","SAINT-BONNET-DE-MURE","5.035436","45.692825"
"ASSOCIATION DES REMANENTS DE LA VEUVE ARVE","Maintenir des rapports amicaux de permettre une entraide sociale","Chez mme colette passot 14 avenue general","69300","CALUIRE-ET-CUIRE","4.852087","45.803717"
"ASSOCIATION SPORTIVE SCOLAIRE DE CHEVINAY","Former la responsabilite le civisme et l'autonomie par la pratique","","69210","CHEVINAY","4.590177","45.782852"
"AVENIR DECINOIS","Reunir les decinois afin de leur assurer une prosperite economique","2 rue geo chavez","69150","DECINES-CHARPIEU","4.952628","45.770965"
"GRIMAND DIFFUSION","Mettre en relation des personnes entre elles","2 rue clement michut","69100","VILLEURBANNE","4.881538","45.768323"
"CLUB DEFI","Proposer des defis d'ordre sportifs a des etudiants","20 avenue albert einstein","69100","VILLEURBANNE","4.878107","45.78264"
"COMPAGNIE DEMI LUNE","Promouvoir la danse contemporaine","21 avenue joannes hubert","69160","TASSIN-LA-DEMI-LUNE","4.780066","45.765136"
"ASSOCIATION DES ETUDIANTS DE L'INSA DE LYON AEIL","Developper les relations entre les etudiants de l'insa de lyon","Le saphir","69100","VILLEURBANNE","4.890035","45.768975"
"TOUCANAIR FORMATIION AERONAUTIQUE","Favoriser et developper la formation aeronautique","6 rue louis pergaud","69200","VENISSIEUX","4.893068","45.700828"
"ESPOIR QUAND TU NOUS TIENS","Inserer inciter initier les jeunes dans le monde artistique","1 bis rue laurent bonnevay","69800","SAINT-PRIEST","4.947566","45.693757"
"COMITE DE DEFENSE CONTRE LA POLLUTION DE GIVORS","Proter l'environnement","14 rue des combes","69700","GIVORS","4.792375","45.571504"
"ASSOCIATION DES CENTRES TECHNIQUES ET DE RECHERCHE RHONE ALPES ACTRA","Reunir les centres techniques et de recherche de la region","47 Avenue Valioud","69110","SAINTE-FOY-LES-LYON","4.808552","45.744401"
